trip_id,timestamp,date,hour,day_of_week,is_weekend,is_peak_hour,zone,zone_tier,vehicle_type,weather,distance_km,duration_min,demand_score,surge_multiplier,base_fare_usd,final_fare_usd,operating_cost_usd,driver_earnings_usd,driver_net_usd,platform_commission,passenger_rating
T00021,2024-01-27T21:24:08Z,2024-01-27,2,Sun,TRUE,FALSE,Downtown,1,Non-EV,Clear,5.41,18.5,58.8,2.15,9.2,19.77,1.51,18.26,14.31,3.95,4.2
T00022,2024-01-04T22:22:16Z,2024-01-04,3,Fri,FALSE,FALSE,Downtown,1,EV,Clear,7.27,20.5,54.7,1.99,13.09,26.05,0.87,25.18,19.97,5.21,2.9
T00023,2024-01-30T10:30:06Z,2024-01-30,16,Tue,FALSE,FALSE,Suburb_North,3,EV,Clear,9.45,24,12.3,1.19,17,20.23,1.13,19.1,15.05,4.05,4.6
T00024,2024-01-29T04:06:03Z,2024-01-29,9,Mon,FALSE,TRUE,Suburb_South,3,EV,Clear,10.52,44.1,54.7,2.01,18.94,38.08,1.26,36.82,29.2,7.62,4.5
T00025,2024-01-03T05:51:18Z,2024-01-03,11,Wed,FALSE,FALSE,Suburb_North,3,EV,Rainy,8.76,24.6,17.1,1.51,15.77,23.82,1.05,22.77,18.01,4.76,4
T00026,2024-01-16T04:43:56Z,2024-01-16,10,Tue,FALSE,FALSE,Airport,1,EV,Clear,18.09,59,42.9,2.03,32.56,66.1,2.17,63.93,50.71,13.22,4.6
T00027,2024-01-12T11:26:46Z,2024-01-12,16,Fri,FALSE,FALSE,Downtown,1,Non-EV,Foggy,5.9,25.8,51.5,2.01,10.03,20.16,1.65,18.51,14.48,4.03,4.8
T00028,2024-01-27T22:37:52Z,2024-01-27,4,Sun,TRUE,FALSE,Suburb_South,3,Non-EV,Rainy,8.58,30,30.3,1.56,14.58,22.75,2.4,20.35,15.8,4.55,3.8
T00029,2024-01-14T04:19:04Z,2024-01-14,9,Sun,TRUE,TRUE,Downtown,1,Non-EV,Clear,3.69,24.5,92.7,2.92,6.27,18.32,1.03,17.29,13.63,3.66,3.6
T00030,2024-01-25T20:25:22Z,2024-01-25,1,Fri,FALSE,FALSE,Downtown,1,Non-EV,Rainy,1.97,3,44.8,1.9,3.34,6.35,0.55,5.8,4.53,1.27,4.4
T00031,2024-01-22T21:34:07Z,2024-01-22,3,Tue,FALSE,FALSE,Suburb_North,3,Non-EV,Foggy,11.5,33.8,13.6,1,19.55,19.55,3.22,16.33,12.42,3.91,4
T00032,2024-01-25T02:27:34Z,2024-01-25,7,Thu,FALSE,TRUE,Airport,1,Non-EV,Clear,22.94,79.3,58.6,2.12,38.99,82.66,6.42,76.24,59.71,16.53,4.1
T00033,2024-01-12T09:56:16Z,2024-01-12,15,Fri,FALSE,FALSE,Airport,1,Non-EV,Clear,20.4,65,47.6,1.82,34.67,63.11,5.71,57.4,44.78,12.62,3.9
T00034,2024-01-21T07:49:19Z,2024-01-21,13,Sun,TRUE,FALSE,Downtown,1,EV,Clear,7.11,25.6,38.5,1.64,12.79,20.98,0.85,20.13,15.93,4.2,4.4
T00035,2023-12-31T21:20:34Z,2023-12-31,2,Mon,FALSE,FALSE,Airport,1,Non-EV,Rainy,16.45,57.7,39.3,1.97,27.97,55.1,4.61,50.49,39.47,11.02,3.6
T00036,2024-01-25T18:11:57Z,2024-01-25,23,Thu,FALSE,FALSE,Suburb_South,3,EV,Clear,8.78,34.6,15.9,1.34,15.8,21.17,1.05,20.12,15.89,4.23,5
T00037,2023-12-31T23:46:50Z,2023-12-31,5,Mon,FALSE,FALSE,Suburb_North,3,Non-EV,Foggy,9.26,34.9,12.6,1.21,15.74,19.05,2.59,16.46,12.65,3.81,4
T00038,2024-01-07T00:00:51Z,2024-01-07,5,Sun,TRUE,FALSE,Airport,1,EV,Clear,19.5,59.3,42.8,1.71,35.09,60.01,2.34,57.67,45.67,12,3.9
T00039,2024-01-27T23:15:09Z,2024-01-27,4,Sun,TRUE,FALSE,Suburb_South,3,Non-EV,Rainy,7.71,24.6,39.9,1.77,13.11,23.2,2.16,21.04,16.4,4.64,3.8
T00040,2024-01-19T02:58:49Z,2024-01-19,8,Fri,FALSE,TRUE,Midtown,2,EV,Clear,4,19.6,61.9,2.12,7.2,15.26,0.48,14.78,11.73,3.05,3.8
T00041,2024-01-12T03:46:57Z,2024-01-12,9,Fri,FALSE,TRUE,Suburb_South,3,EV,Clear,8.15,29.8,33.7,1.55,14.67,22.74,0.98,21.76,17.21,4.55,3.3
T00042,2024-01-13T20:15:19Z,2024-01-13,1,Sun,TRUE,FALSE,Midtown,2,Non-EV,Clear,13.04,41.6,24.3,1.48,22.16,32.8,3.65,29.15,22.59,6.56,4.5
T00043,2024-01-01T21:27:01Z,2024-01-01,2,Tue,FALSE,FALSE,Midtown,2,Non-EV,Foggy,5.13,15,31,1.61,8.72,14.05,1.44,12.61,9.8,2.81,5
T00044,2024-01-29T23:26:54Z,2024-01-29,4,Tue,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,11.47,39.1,14.7,1.46,19.49,28.46,3.21,25.25,19.56,5.69,4.2
T00045,2024-01-13T17:21:38Z,2024-01-13,22,Sat,TRUE,FALSE,Suburb_South,3,Non-EV,Clear,4.29,19.6,21.2,1.47,7.3,10.73,1.2,9.53,7.38,2.15,3.7
T00046,2024-01-29T11:57:17Z,2024-01-29,17,Mon,FALSE,TRUE,Downtown,1,EV,Clear,11.92,38.7,75.5,2.49,21.46,53.43,1.43,52,41.31,10.69,4.7
T00047,2024-01-27T09:40:59Z,2024-01-27,15,Sat,TRUE,FALSE,Suburb_South,3,Non-EV,Stormy,4.83,17.3,43.1,1.92,8.22,15.78,1.35,14.43,11.27,3.16,4.9
T00048,2024-01-19T23:17:04Z,2024-01-19,4,Sat,TRUE,FALSE,Midtown,2,EV,Foggy,6.35,16,42.7,2.03,11.43,23.21,0.76,22.45,17.81,4.64,4.8
T00049,2024-01-29T21:35:44Z,2024-01-29,3,Tue,FALSE,FALSE,Suburb_North,3,EV,Stormy,9.11,29.2,19.5,1.43,16.4,23.45,1.09,22.36,17.67,4.69,5
T00050,2024-01-19T08:03:48Z,2024-01-19,13,Fri,FALSE,FALSE,Midtown,2,Non-EV,Rainy,5.55,16.7,27.8,1.67,9.43,15.75,1.55,14.2,11.05,3.15,3.6
T00051,2024-01-10T18:34:02Z,2024-01-10,0,Thu,FALSE,FALSE,Suburb_North,3,EV,Clear,4.89,13.7,7.2,1.03,8.81,9.07,0.59,8.48,6.67,1.81,3.9
T00052,2024-01-11T04:09:31Z,2024-01-11,9,Thu,FALSE,TRUE,Downtown,1,Non-EV,Rainy,2.03,11.1,72.3,2.43,3.45,8.4,0.57,7.83,6.15,1.68,5
T00053,2024-01-12T17:24:33Z,2024-01-12,22,Fri,FALSE,FALSE,Suburb_South,3,Non-EV,Stormy,11.27,42.9,15.7,1.25,19.17,23.96,3.16,20.8,16.01,4.79,4.3
T00054,2024-01-24T07:28:42Z,2024-01-24,12,Wed,FALSE,FALSE,Suburb_North,3,EV,Clear,9.4,33.8,5.9,1.1,16.92,18.61,1.13,17.48,13.76,3.72,4.1
T00055,2024-01-01T22:32:03Z,2024-01-01,4,Tue,FALSE,FALSE,Downtown,1,Non-EV,Rainy,4.38,15.5,48.2,1.92,7.45,14.3,1.23,13.07,10.21,2.86,4.4
T00056,2024-01-23T05:37:56Z,2024-01-23,11,Tue,FALSE,FALSE,Downtown,1,EV,Clear,5.29,14.9,37.8,1.93,9.53,18.39,0.64,17.75,14.07,3.68,5
T00057,2024-01-21T02:08:20Z,2024-01-21,7,Sun,TRUE,TRUE,Airport,1,EV,Clear,18.44,64.1,66.2,2.41,33.19,79.99,2.21,77.78,61.78,16,3.1
T00058,2024-01-05T21:48:36Z,2024-01-05,3,Sat,TRUE,FALSE,Suburb_North,3,EV,Clear,9.42,30.6,12.4,1.18,16.95,20,1.13,18.87,14.87,4,4.5
T00059,2024-01-08T14:28:59Z,2024-01-08,19,Mon,FALSE,TRUE,Suburb_North,3,Non-EV,Clear,10.95,45.6,39.1,1.64,18.62,30.54,3.07,27.47,21.36,6.11,4.2
T00060,2024-01-16T04:52:37Z,2024-01-16,10,Tue,FALSE,FALSE,Airport,1,Non-EV,Clear,19.54,64.7,53.2,2,33.22,66.44,5.47,60.97,47.68,13.29,4.1
T00061,2024-01-21T00:56:13Z,2024-01-21,6,Sun,TRUE,FALSE,Downtown,1,EV,Rainy,7.76,25.1,61.3,2.32,13.96,32.39,0.93,31.46,24.98,6.48,4.7
T00062,2024-01-30T06:07:41Z,2024-01-30,11,Tue,FALSE,FALSE,Downtown,1,EV,Rainy,4.29,13.2,40.2,1.77,7.73,13.68,0.52,13.16,10.42,2.74,4.7
T00063,2024-01-23T13:22:17Z,2024-01-23,18,Tue,FALSE,TRUE,Airport,1,Non-EV,Clear,18.87,58.6,69.6,2.41,32.08,77.32,5.28,72.04,56.58,15.46,4.9
T00064,2024-01-17T18:22:17Z,2024-01-17,23,Wed,FALSE,FALSE,Midtown,2,EV,Clear,1,3,9.6,1.24,1.8,2.23,0.12,2.11,1.66,0.45,4.1
T00065,2024-01-26T06:16:34Z,2024-01-26,11,Fri,FALSE,FALSE,Suburb_North,3,Non-EV,Clear,12.35,38,0,1.08,20.99,22.67,3.46,19.21,14.68,4.53,5
T00066,2024-01-06T10:55:16Z,2024-01-06,16,Sat,TRUE,FALSE,Airport,1,EV,Clear,20.24,61.3,46.8,2,36.43,72.85,2.43,70.42,55.85,14.57,5
T00067,2024-01-08T21:49:34Z,2024-01-08,3,Tue,FALSE,FALSE,Downtown,1,Non-EV,Rainy,3.99,18.7,39.7,1.6,6.79,10.86,1.12,9.74,7.57,2.17,4
T00068,2024-01-25T14:46:25Z,2024-01-25,20,Thu,FALSE,TRUE,Midtown,2,Non-EV,Clear,10.73,45,41.6,1.95,18.25,35.58,3.01,32.57,25.45,7.12,4.5
T00069,2024-01-21T13:36:26Z,2024-01-21,19,Sun,TRUE,TRUE,Suburb_North,3,EV,Clear,8.4,29.6,60.4,2.25,15.11,34.01,1.01,33,26.2,6.8,3.9
T00070,2024-01-07T23:41:31Z,2024-01-07,5,Mon,FALSE,FALSE,Downtown,1,EV,Foggy,5.38,20.4,31.3,1.65,9.68,15.98,0.65,15.33,12.13,3.2,4.2
T00071,2024-01-02T01:27:06Z,2024-01-02,6,Tue,FALSE,FALSE,Airport,1,Non-EV,Clear,14.31,48.7,23.6,1.51,24.33,36.74,4.01,32.73,25.38,7.35,4
T00072,2024-01-04T23:38:41Z,2024-01-04,5,Fri,FALSE,FALSE,Downtown,1,EV,Foggy,5.03,17.8,36,1.63,9.06,14.76,0.6,14.16,11.21,2.95,5
T00073,2024-01-07T06:17:50Z,2024-01-07,11,Sun,TRUE,FALSE,Suburb_North,3,Non-EV,Foggy,7.06,30,20.2,1.48,12.01,17.77,1.98,15.79,12.24,3.55,4.2
T00074,2024-01-15T03:40:00Z,2024-01-15,9,Mon,FALSE,TRUE,Airport,1,Non-EV,Rainy,16.43,52.2,76.8,2.63,27.93,73.45,4.6,68.85,54.16,14.69,4.5
T00075,2024-01-06T16:38:07Z,2024-01-06,22,Sat,TRUE,FALSE,Midtown,2,EV,Clear,10.75,34.6,41.6,1.95,19.36,37.74,1.29,36.45,28.9,7.55,3.9
T00076,2024-01-22T08:26:09Z,2024-01-22,13,Mon,FALSE,FALSE,Midtown,2,Non-EV,Clear,8.94,33.9,30.6,1.58,15.2,24.02,2.5,21.52,16.72,4.8,4.1
T00077,2024-01-01T00:10:37Z,2024-01-01,5,Mon,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,6.77,19.7,36.9,1.88,11.52,21.65,1.9,19.75,15.42,4.33,4.2
T00078,2024-01-12T00:51:09Z,2024-01-12,6,Fri,FALSE,FALSE,Airport,1,Non-EV,Clear,20.39,61.4,54.7,2.07,34.67,71.76,5.71,66.05,51.7,14.35,3.7
T00079,2024-01-16T04:52:24Z,2024-01-16,10,Tue,FALSE,FALSE,Downtown,1,EV,Rainy,7.04,21.5,47,1.93,12.67,24.46,0.84,23.62,18.73,4.89,4.2
T00080,2023-12-31T19:37:50Z,2023-12-31,1,Mon,FALSE,FALSE,Suburb_North,3,EV,Clear,10.5,37.1,14.2,1.36,18.89,25.7,1.26,24.44,19.3,5.14,4.8
T00081,2024-01-18T05:15:16Z,2024-01-18,10,Thu,FALSE,FALSE,Airport,1,Non-EV,Clear,18.03,57.7,40.2,1.64,30.65,50.27,5.05,45.22,35.17,10.05,4.1
T00082,2024-01-05T12:11:30Z,2024-01-05,17,Fri,FALSE,TRUE,Downtown,1,Non-EV,Clear,5.18,17,73.5,2.47,8.8,21.74,1.45,20.29,15.94,4.35,3.6
T00083,2024-01-11T13:00:01Z,2024-01-11,18,Thu,FALSE,TRUE,Downtown,1,EV,Clear,6.65,30.3,67,2.39,11.97,28.62,0.8,27.82,22.1,5.72,4.2
T00084,2024-01-20T03:21:17Z,2024-01-20,8,Sat,TRUE,TRUE,Downtown,1,Non-EV,Clear,3.55,17.2,80.5,2.58,6.03,15.57,0.99,14.58,11.47,3.11,4
T00085,2024-01-24T01:05:33Z,2024-01-24,6,Wed,FALSE,FALSE,Airport,1,Non-EV,Clear,21.89,73.7,26.6,1.53,37.22,56.95,6.13,50.82,39.43,11.39,3.7
T00086,2024-01-17T16:19:32Z,2024-01-17,21,Wed,FALSE,FALSE,Suburb_North,3,EV,Clear,8.7,24.8,22.5,1.35,15.67,21.15,1.04,20.11,15.88,4.23,4.2
T00087,2024-01-07T18:45:58Z,2024-01-07,0,Mon,FALSE,FALSE,Airport,1,Non-EV,Clear,20.84,69.8,28.9,1.64,35.43,58.1,5.84,52.26,40.64,11.62,3.9
T00088,2024-01-03T11:17:09Z,2024-01-03,16,Wed,FALSE,FALSE,Airport,1,Non-EV,Foggy,18.67,55.6,49.9,2.24,31.74,71.11,5.23,65.88,51.66,14.22,4.2
T00089,2024-01-03T08:08:26Z,2024-01-03,13,Wed,FALSE,FALSE,Downtown,1,EV,Stormy,2.85,10.9,53.1,2.27,5.14,11.66,0.34,11.32,8.99,2.33,4.4
T00090,2024-01-09T22:15:25Z,2024-01-09,3,Wed,FALSE,FALSE,Suburb_South,3,Non-EV,Clear,8.34,28.7,0,1.24,14.18,17.58,2.34,15.24,11.72,3.52,4.6
T00091,2024-01-20T19:02:48Z,2024-01-20,0,Sun,TRUE,FALSE,Downtown,1,EV,Clear,5.86,12.3,57.5,1.99,10.55,21,0.7,20.3,16.1,4.2,5
T00092,2023-12-31T18:40:19Z,2023-12-31,0,Mon,FALSE,FALSE,Airport,1,EV,Foggy,16.57,56.5,48.2,2.01,29.82,59.94,1.99,57.95,45.96,11.99,4.2
T00093,2024-01-07T00:40:13Z,2024-01-07,6,Sun,TRUE,FALSE,Suburb_South,3,Non-EV,Clear,7.01,16.3,31.9,1.73,11.91,20.61,1.96,18.65,14.53,4.12,5
T00094,2024-01-28T18:17:03Z,2024-01-28,23,Sun,TRUE,FALSE,Midtown,2,EV,Rainy,7.48,19.8,26.2,1.53,13.46,20.6,0.9,19.7,15.58,4.12,4.1
T00095,2024-01-28T12:57:50Z,2024-01-28,18,Sun,TRUE,TRUE,Downtown,1,EV,Rainy,5.98,29.2,93.5,2.85,10.76,30.66,0.72,29.94,23.81,6.13,3.6
T00096,2024-01-22T19:02:51Z,2024-01-22,0,Tue,FALSE,FALSE,Downtown,1,Non-EV,Foggy,7.23,23,32.1,1.65,12.29,20.28,2.02,18.26,14.2,4.06,3.9
T00097,2024-01-10T18:18:42Z,2024-01-10,23,Wed,FALSE,FALSE,Suburb_North,3,EV,Rainy,10.37,36.2,22.6,1.42,18.66,26.49,1.24,25.25,19.95,5.3,4.7
T00098,2024-01-16T05:20:43Z,2024-01-16,10,Tue,FALSE,FALSE,Airport,1,EV,Clear,20.31,65.6,35.8,1.59,36.56,58.12,2.44,55.68,44.06,11.62,4.4
T00099,2024-01-23T02:09:41Z,2024-01-23,7,Tue,FALSE,TRUE,Downtown,1,Non-EV,Stormy,3.23,6.9,80.4,2.56,5.5,14.07,0.91,13.16,10.35,2.81,4.6
T00100,2024-01-19T08:17:40Z,2024-01-19,13,Fri,FALSE,FALSE,Suburb_South,3,Non-EV,Rainy,12.66,34.4,13.7,1.48,21.52,31.85,3.54,28.31,21.94,6.37,4.9
T00101,2024-01-19T13:23:47Z,2024-01-19,18,Fri,FALSE,TRUE,Suburb_South,3,Non-EV,Stormy,10.15,33.2,52.2,2.13,17.25,36.74,2.84,33.9,26.55,7.35,4
T00102,2024-01-07T06:51:12Z,2024-01-07,12,Sun,TRUE,FALSE,Downtown,1,Non-EV,Stormy,3.84,10.3,65.9,2.3,6.54,15.03,1.08,13.95,10.94,3.01,5
T00103,2024-01-07T06:25:42Z,2024-01-07,11,Sun,TRUE,FALSE,Downtown,1,EV,Clear,3.36,13.4,64.1,2.34,6.05,14.15,0.4,13.75,10.92,2.83,4.8
T00104,2024-01-12T10:32:25Z,2024-01-12,16,Fri,FALSE,FALSE,Suburb_North,3,EV,Clear,5.57,14.1,5.3,1.12,10.03,11.23,0.67,10.56,8.31,2.25,4.3
T00105,2024-01-29T01:04:04Z,2024-01-29,6,Mon,FALSE,FALSE,Downtown,1,Non-EV,Rainy,6.45,19.8,37,1.72,10.97,18.87,1.81,17.06,13.29,3.77,4.1
T00106,2024-01-29T15:34:39Z,2024-01-29,21,Mon,FALSE,FALSE,Midtown,2,EV,Clear,2.11,9.1,16.7,1.26,3.8,4.78,0.25,4.53,3.57,0.96,4.2
T00107,2024-01-22T23:11:44Z,2024-01-22,4,Tue,FALSE,FALSE,Downtown,1,EV,Rainy,7.93,22.4,48.1,1.96,14.28,27.98,0.95,27.03,21.43,5.6,3.9
T00108,2024-01-22T18:26:12Z,2024-01-22,23,Mon,FALSE,FALSE,Midtown,2,Non-EV,Rainy,5.31,24.5,29.4,1.66,9.03,14.98,1.49,13.49,10.49,3,3.9
T00109,2024-01-16T20:14:52Z,2024-01-16,1,Wed,FALSE,FALSE,Airport,1,Non-EV,Clear,18.97,60.6,44.4,1.81,32.25,58.38,5.31,53.07,41.39,11.68,5
T00110,2023-12-31T20:08:11Z,2023-12-31,1,Mon,FALSE,FALSE,Downtown,1,Non-EV,Clear,2.13,14.3,15.9,1.22,3.63,4.42,0.6,3.82,2.94,0.88,4.3
T00111,2024-01-19T00:56:05Z,2024-01-19,6,Fri,FALSE,FALSE,Airport,1,Non-EV,Rainy,20.08,63.1,54.4,2.08,34.13,71,5.62,65.38,51.18,14.2,4.7
T00112,2024-01-25T20:59:48Z,2024-01-25,2,Fri,FALSE,FALSE,Downtown,1,Non-EV,Clear,8.06,21.3,41.2,1.71,13.7,23.43,2.26,21.17,16.48,4.69,5
T00113,2024-01-23T07:35:45Z,2024-01-23,13,Tue,FALSE,FALSE,Suburb_South,3,Non-EV,Foggy,7.92,33.4,23.7,1.33,13.46,17.91,2.22,15.69,12.11,3.58,4.9
T00114,2024-01-14T08:27:59Z,2024-01-14,13,Sun,TRUE,FALSE,Airport,1,EV,Clear,21.45,74.4,47.9,1.83,38.61,70.66,2.57,68.09,53.96,14.13,4.3
T00115,2024-01-16T20:16:07Z,2024-01-16,1,Wed,FALSE,FALSE,Airport,1,Non-EV,Foggy,19.33,66.7,60.3,2.27,32.85,74.58,5.41,69.17,54.25,14.92,3.7
T00116,2024-01-16T21:24:39Z,2024-01-16,2,Wed,FALSE,FALSE,Suburb_South,3,Non-EV,Foggy,9.7,41,19.6,1.42,16.49,23.41,2.72,20.69,16.01,4.68,4.6
T00117,2023-12-31T19:29:39Z,2023-12-31,0,Mon,FALSE,FALSE,Suburb_South,3,EV,Clear,10.02,35.2,0,1.03,18.03,18.58,1.2,17.38,13.66,3.72,3.8
T00118,2024-01-11T10:34:45Z,2024-01-11,16,Thu,FALSE,FALSE,Midtown,2,EV,Clear,4.23,14,2.1,1.21,7.61,9.2,0.51,8.69,6.85,1.84,4.5
T00119,2024-01-19T03:14:08Z,2024-01-19,8,Fri,FALSE,TRUE,Midtown,2,EV,Foggy,5.09,23,46.1,1.91,9.16,17.49,0.61,16.88,13.38,3.5,3.3
T00120,2024-01-25T15:20:17Z,2024-01-25,20,Thu,FALSE,TRUE,Downtown,1,Non-EV,Clear,1,3,48.4,2.02,1.7,3.43,0.28,3.15,2.46,0.69,5
T00121,2024-01-11T11:20:23Z,2024-01-11,16,Thu,FALSE,FALSE,Midtown,2,Non-EV,Stormy,2.1,3,30.2,1.6,3.57,5.71,0.59,5.12,3.98,1.14,5
T00122,2024-01-13T02:09:25Z,2024-01-13,7,Sat,TRUE,TRUE,Airport,1,Non-EV,Rainy,18.46,65.8,80.9,2.83,31.39,88.83,5.17,83.66,65.89,17.77,5
T00123,2024-01-17T23:24:08Z,2024-01-17,4,Thu,FALSE,FALSE,Suburb_North,3,Non-EV,Rainy,5.69,16.2,16.1,1.36,9.68,13.16,1.59,11.57,8.94,2.63,5
T00124,2024-01-18T11:04:05Z,2024-01-18,16,Thu,FALSE,FALSE,Suburb_North,3,EV,Foggy,8.6,30.7,7.3,1.17,15.48,18.12,1.03,17.09,13.47,3.62,3.6
T00125,2024-01-22T08:39:10Z,2024-01-22,14,Mon,FALSE,FALSE,Suburb_North,3,EV,Clear,4.86,12.9,2.3,1.03,8.74,9,0.58,8.42,6.62,1.8,3.8
T00126,2024-01-12T14:52:49Z,2024-01-12,20,Fri,FALSE,TRUE,Downtown,1,Non-EV,Rainy,7.4,37.1,81.2,2.72,12.58,34.23,2.07,32.16,25.31,6.85,4.6
T00127,2024-01-28T08:19:35Z,2024-01-28,13,Sun,TRUE,FALSE,Downtown,1,EV,Stormy,5.73,17.8,63.4,2.53,10.32,26.1,0.69,25.41,20.19,5.22,4.2
T00128,2024-01-29T15:33:01Z,2024-01-29,21,Mon,FALSE,FALSE,Suburb_North,3,Non-EV,Stormy,6.79,10.4,22.3,1.19,11.55,13.74,1.9,11.84,9.09,2.75,4
T00129,2024-01-07T18:38:12Z,2024-01-07,0,Mon,FALSE,FALSE,Airport,1,Non-EV,Clear,18.95,68.9,41.6,1.9,32.22,61.22,5.31,55.91,43.67,12.24,4.4
T00130,2024-01-22T12:08:17Z,2024-01-22,17,Mon,FALSE,TRUE,Suburb_South,3,Non-EV,Clear,10.65,41.2,35.3,1.5,18.11,27.17,2.98,24.19,18.76,5.43,4.8
T00131,2024-01-27T21:06:59Z,2024-01-27,2,Sun,TRUE,FALSE,Suburb_North,3,Non-EV,Stormy,4.89,16.6,34.4,1.84,8.32,15.3,1.37,13.93,10.87,3.06,4.3
T00132,2024-01-18T21:00:04Z,2024-01-18,2,Fri,FALSE,FALSE,Suburb_South,3,EV,Clear,8.05,23.5,23.8,1.26,14.48,18.25,0.97,17.28,13.63,3.65,4.1
T00133,2024-01-19T17:11:06Z,2024-01-19,22,Fri,FALSE,FALSE,Downtown,1,EV,Clear,4.21,16.7,31.1,1.49,7.58,11.3,0.51,10.79,8.53,2.26,4.1
T00134,2024-01-28T21:25:03Z,2024-01-28,2,Mon,FALSE,FALSE,Midtown,2,EV,Clear,7.02,25.1,8.8,1.21,12.64,15.3,0.84,14.46,11.4,3.06,5
T00135,2024-01-26T06:50:50Z,2024-01-26,12,Fri,FALSE,FALSE,Downtown,1,Non-EV,Clear,2.68,13.4,48.6,1.94,4.56,8.84,0.75,8.09,6.32,1.77,3.9
